timestamp,m1_pos,m1_vel,m1_torque,m2_pos,m2_vel,m2_torque,ch6_max,ch7_max,ch6_new,ch7_new,m1_label,m2_label
34243,-9.003884,-7.21584,-0.007812,17.737789,0.0,0.0,3.263733,2.911303,1.0,1.0,2,0
34251,-9.069078,-7.682169,0.0,17.73798,0.564505,0.003906,3.263733,2.911303,1.0,1.0,2,0
34252,-9.131205,-6.454986,0.0,17.737789,0.613592,0.0,3.263733,2.911303,1.0,1.0,2,0
34274,-9.182593,-6.798597,0.003906,17.736446,-0.220893,0.0,3.263733,2.911303,1.0,1.0,2,0
34276,-9.247404,-7.95215,0.0,17.734529,0.171806,0.003906,3.263733,2.911303,1.0,1.0,2,0
34284,-9.309147,-6.062287,-0.003906,17.728394,-0.122718,0.003906,3.263733,2.911303,1.0,1.0,2,0
34304,-9.36111,-6.086831,0.0,17.722641,-0.294524,-0.003906,3.263733,2.911303,1.0,1.0,2,0
34305,-9.413074,-6.234093,0.003906,17.722065,0.171806,0.0,3.263733,2.911303,1.0,1.0,2,0
34315,-9.467147,-5.841394,0.0,17.721874,-0.171806,-0.003906,3.263733,2.911303,1.0,1.0,2,0
34317,-9.512015,-5.767763,0.0,17.722065,0.147262,0.0,3.263733,2.927025,1.0,1.0,2,0
34335,-9.569923,-7.461277,0.0,17.722065,-0.122718,0.0,3.263733,2.927025,1.0,1.0,2,0
34336,-9.632625,-6.896772,-0.007812,17.722448,0.220893,-0.003906,3.263733,2.927025,1.0,1.0,2,0
34346,-9.686122,-5.988656,0.0,17.723217,0.196349,-0.003906,3.263733,2.927025,1.0,1.0,2,0
34366,-9.741345,-6.847685,0.003906,17.723217,-0.049087,-0.003906,3.263733,2.927025,1.0,1.0,2,0
34367,-9.806156,-7.093122,0.0,17.7236,0.515417,0.003906,3.263733,2.927025,1.0,1.0,2,0
34368,-9.865406,-6.28318,-0.003906,17.723408,0.024544,0.0,3.263733,2.927025,1.0,1.0,2,0
34379,-9.916602,-6.28318,-0.007812,17.723217,-0.098175,0.0,3.263733,2.927025,1.0,1.0,2,0
34396,-9.971442,-5.988656,-0.007812,17.723024,0.147262,0.0,3.263733,2.927025,1.0,1.0,2,0
34398,-10.009216,-3.411571,-0.007812,17.722641,0.539961,0.003906,3.263733,2.927025,1.0,1.0,2,0
34416,-10.033185,-3.018872,0.0,17.720915,0.26998,0.0,3.263733,2.927025,1.0,1.0,2,0
34428,-10.05792,-2.920697,0.0,17.718615,-0.220893,0.0,3.263733,2.927025,1.0,1.0,2,0
34429,-10.085916,-2.896153,-0.003906,17.716312,-0.368155,0.0,3.263733,2.927025,1.0,1.0,2,0
34431,-10.117554,-3.485202,0.0,17.714972,0.024544,0.003906,3.263733,2.927025,1.0,1.0,2,0
34441,-10.146124,-2.724348,-0.007812,17.714972,0.245437,0.003906,3.263733,2.927025,1.0,1.0,2,0
34461,-10.157437,-0.098175,-0.019531,17.715546,0.589048,-0.003906,3.263733,2.927025,1.0,1.0,2,0
34462,-10.150343,0.711766,0.0,17.716122,0.392699,0.0,3.263733,2.927025,1.0,1.0,2,0
34472,-10.144015,0.220893,0.007812,17.716888,-0.049087,0.003906,3.263733,2.927025,1.0,1.0,2,0
34489,-10.143824,-0.245437,0.0,17.718615,0.539961,0.003906,3.263733,2.927025,1.0,1.0,2,0
34491,-10.142864,0.638135,-0.003906,17.719574,0.147262,0.0,3.263733,2.927025,1.0,1.0,2,0
34493,-10.140756,0.073631,0.0,17.719957,-0.122718,0.0,3.263733,2.927025,1.0,1.0,2,0
34502,-10.131743,1.963494,-0.007812,17.720148,0.024544,0.0,3.263733,2.927025,1.0,1.0,1,0
34523,-10.096078,4.859647,-0.007812,17.721491,0.171806,0.003906,3.263733,2.927025,1.0,1.0,1,0
34524,-10.043156,6.454986,-0.003906,17.725134,0.613592,0.0,3.263733,2.927025,1.0,1.0,1,0
34536,-9.977962,7.657626,-0.019531,17.731653,0.785398,0.003906,3.263733,2.927025,1.0,1.0,1,0
34564,-9.910083,7.95215,-0.011719,17.733379,0.024544,0.0,3.263733,2.927025,1.0,1.0,1,0
34565,-9.832617,9.179334,0.0,17.73568,0.687223,-0.003906,3.263733,2.927025,1.0,1.0,1,0
34567,-9.746715,8.860266,0.0,17.746418,1.840775,-0.003906,3.263733,2.927025,1.0,1.0,1,2
34569,-9.665606,8.811178,-0.003906,17.774029,3.926988,-0.003906,3.263733,2.927025,1.0,1.0,1,2
34586,-9.58392,10.185624,0.0,17.807968,4.859647,-0.003906,3.263733,2.927025,1.0,1.0,1,2
34588,-9.49054,10.332887,0.007812,17.854946,6.209549,0.0,3.263733,2.927025,1.0,1.0,1,2
34598,-9.397925,9.842012,-0.003906,17.913622,7.01949,0.003906,3.263733,2.927025,1.0,1.0,1,2
34616,-9.307996,10.013819,-0.007812,17.974598,6.553161,0.003906,3.263733,2.927025,1.0,1.0,1,2
34617,-9.208287,11.069197,0.011719,18.025986,5.620501,0.003906,3.263733,2.927025,1.0,1.0,1,2
34618,-9.129096,9.743838,0.003906,18.064528,5.178715,-0.003906,3.263733,2.927025,1.0,1.0,1,2
34629,-9.044919,9.007528,0.0,18.10767,4.884191,0.0,3.263733,2.927025,1.0,1.0,1,2
34646,-8.970521,8.001237,0.003906,18.150812,4.761473,0.0,3.263733,2.927025,1.0,1.0,1,2
34647,-8.896315,7.731257,0.003906,18.195683,5.203259,0.0,3.263733,2.927025,1.0,1.0,1,2
34659,-8.842433,5.620501,0.003906,18.238441,5.301434,0.0,3.263733,2.927025,1.0,1.0,1,2
34660,-8.79603,4.859647,0.0,18.286379,4.859647,0.003906,3.263733,2.927025,1.0,1.0,1,2
34678,-8.748285,5.497783,-0.011719,18.324535,4.172424,0.0,3.263733,2.927025,1.0,1.0,1,2
34680,-8.705142,4.565123,0.0,18.354258,4.07425,-0.003906,3.263733,2.927025,1.0,1.0,1,2
34691,-8.663342,4.368774,0.007812,18.392223,4.442405,-0.003906,3.263733,2.927025,1.0,1.0,1,2
34710,-8.626526,3.828813,0.003906,18.441118,6.430442,0.0,3.263733,2.927025,1.0,1.0,1,2
34711,-8.589902,4.196968,-0.003906,18.495575,6.037744,-0.003906,3.263733,2.927025,1.0,1.0,1,2
34712,-8.555196,3.902444,0.0,18.544279,6.135918,0.0,3.263733,2.927025,1.0,1.0,1,2
34723,-8.524899,2.40528,0.0,18.596817,5.890481,0.003906,3.263733,2.927025,1.0,1.0,1,2
34743,-8.500931,2.552542,-0.003906,18.642071,5.031453,0.003906,3.263733,2.927025,1.0,1.0,1,2
34744,-8.474278,3.583376,-0.007812,18.684063,5.154171,0.0,3.263733,2.927025,1.0,1.0,1,2
34752,-8.444941,3.902444,-0.007812,18.725481,5.694132,-0.003906,3.263733,2.927025,1.0,1.0,1,2
34772,-8.399689,5.816851,-0.003906,18.781855,6.774054,0.0,3.263733,2.927025,1.0,1.0,1,2
34776,-8.350793,4.786016,0.003906,18.845322,6.921316,0.003906,3.263733,2.927025,1.0,1.0,1,2
34777,-8.310334,4.147881,0.007812,18.903805,6.454986,0.003906,3.263733,2.927025,1.0,1.0,1,2
34784,-8.278888,3.313396,0.0,18.952126,6.209549,0.0,3.263733,2.927025,1.0,1.0,1,2
34804,-8.240922,4.368774,-0.007812,18.99872,5.105084,0.003906,3.263733,2.927025,1.0,1.0,1,2
34805,-8.198737,4.663298,0.0,19.039371,4.663298,0.0,3.263733,2.927025,1.0,1.0,1,2
34815,-8.166141,4.196968,0.0,19.077911,5.08054,0.0,3.263733,2.927025,1.0,1.0,1,2
34833,-8.129133,4.196968,0.0,19.126232,5.54687,0.003906,3.263733,2.927025,1.0,1.0,1,2
34835,-8.08599,5.08054,-0.007812,19.174744,5.448695,0.0,3.263733,2.927025,1.0,1.0,1,2
34837,-8.030191,6.234093,0.003906,19.217312,4.81056,0.0,3.263733,2.927025,1.0,1.0,1,2
34848,-7.986473,4.687841,0.003906,19.255087,5.203259,0.0,3.263733,2.927025,1.0,1.0,1,2
34866,-7.948507,3.976075,0.003906,19.299765,5.399608,0.0,3.263733,2.927025,1.0,1.0,1,2
34868,-7.911883,4.491492,-0.003906,19.342907,5.055996,0.0,3.263733,2.927025,1.0,1.0,1,2
34877,-7.863563,5.203259,-0.007812,19.382982,4.07425,0.0,3.263733,2.927025,1.0,1.0,1,2
34879,-7.822912,4.957822,0.0,19.417305,4.417861,0.0,3.263733,2.927025,1.0,1.0,1,2
34901,-7.782837,4.270599,0.0,19.454121,4.466949,0.0,3.263733,2.927025,1.0,1.0,1,2
34902,-7.745063,3.976075,0.0,19.48806,3.706095,0.0,3.263733,2.927025,1.0,1.0,1,2
34910,-7.708822,4.295143,0.0,19.512794,3.117046,0.0,3.263733,2.927025,1.0,1.0,1,2
34928,-7.671432,3.387027,0.007812,19.537914,2.945241,0.003906,3.263733,2.927025,1.0,1.0,1,2
34929,-7.646313,2.552542,0.003906,19.560541,2.773435,0.0,3.263733,2.927025,1.0,1.0,1,2
34931,-7.62848,2.037125,-0.003906,19.585852,3.534289,-0.003906,3.263733,2.927025,1.0,1.0,1,2
34940,-7.605854,2.896153,-0.003906,19.621325,4.466949,-0.003906,3.263733,2.927025,1.0,1.0,1,2
34960,-7.5769,3.755182,-0.007812,19.665426,5.227802,0.0,3.263733,2.927025,1.0,1.0,1,2
34961,-7.534332,5.448695,0.0,19.713938,5.816851,0.0,3.263733,2.927025,1.0,1.0,1,2
34972,-7.491765,4.933278,0.003906,19.758999,5.399608,0.003906,3.263733,2.927025,1.0,1.0,1,2
34990,-7.450347,4.196968,0.007812,19.811922,6.209549,0.0,3.263733,2.927025,1.0,1.0,1,2
34991,-7.417175,2.945241,0.003906,19.859474,5.129628,0.0,3.263733,2.927025,1.0,1.0,1,2
34993,-7.392439,2.87161,0.0,19.894373,4.368774,0.003906,3.263733,2.927025,1.0,1.0,1,2
35002,-7.363677,3.067959,0.0,19.930038,4.417861,0.0,3.263733,2.927025,1.0,1.0,1,2
